source_filename,normalized_identifier,raw_identifier,first_page,detection_rule,original_csv_match,final_catalog_product_id,disposition,disposition_basis,rule_id,canonical_product_id,owner_review_required,rationale,evidence_locator
1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf,15MINUTES,15-minutes,13,inline_identifier,false,,not_a_product_identifier,document_rule,RULE-054,,false,"Micro-Tech Y-shaped tracheal stent IFU; tokens are document revision codes, regulatory/patent identifiers, chemical names, figure or numbered-step references, addresses, or citation fragments — not product identifiers.",1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf p.13
1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf,15TESLA,1.5-Tesla,13,matrix_cell,false,,not_a_product_identifier,document_rule,RULE-054,,false,"Micro-Tech Y-shaped tracheal stent IFU; tokens are document revision codes, regulatory/patent identifiers, chemical names, figure or numbered-step references, addresses, or citation fragments — not product identifiers.",1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf p.13
1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf,2WKG,2-W/kg,13,inline_identifier,false,,not_a_product_identifier,document_rule,RULE-054,,false,"Micro-Tech Y-shaped tracheal stent IFU; tokens are document revision codes, regulatory/patent identifiers, chemical names, figure or numbered-step references, addresses, or citation fragments — not product identifiers.",1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf p.13
1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf,35MINUTES,3-5minutes,10,inline_identifier,false,,not_a_product_identifier,document_rule,RULE-054,,false,"Micro-Tech Y-shaped tracheal stent IFU; tokens are document revision codes, regulatory/patent identifiers, chemical names, figure or numbered-step references, addresses, or citation fragments — not product identifiers.",1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf p.10;12
1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf,3TESLA,3-Tesla,13,matrix_cell,false,,not_a_product_identifier,document_rule,RULE-054,,false,"Micro-Tech Y-shaped tracheal stent IFU; tokens are document revision codes, regulatory/patent identifiers, chemical names, figure or numbered-step references, addresses, or citation fragments — not product identifiers.",1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf p.13
1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf,FIG1,Fig.1,6,inline_identifier,false,,not_a_product_identifier,document_rule,RULE-054,,false,"Micro-Tech Y-shaped tracheal stent IFU; tokens are document revision codes, regulatory/patent identifiers, chemical names, figure or numbered-step references, addresses, or citation fragments — not product identifiers.",1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf p.6
1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf,FIG10,Fig.10,10,inline_identifier,false,,not_a_product_identifier,document_rule,RULE-054,,false,"Micro-Tech Y-shaped tracheal stent IFU; tokens are document revision codes, regulatory/patent identifiers, chemical names, figure or numbered-step references, addresses, or citation fragments — not product identifiers.",1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf p.10
1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf,FIG11,Fig.11,8,matrix_cell,false,,not_a_product_identifier,document_rule,RULE-054,,false,"Micro-Tech Y-shaped tracheal stent IFU; tokens are document revision codes, regulatory/patent identifiers, chemical names, figure or numbered-step references, addresses, or citation fragments — not product identifiers.",1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf p.8;10
1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf,FIG12,Fig.12,10,matrix_cell,false,,not_a_product_identifier,document_rule,RULE-054,,false,"Micro-Tech Y-shaped tracheal stent IFU; tokens are document revision codes, regulatory/patent identifiers, chemical names, figure or numbered-step references, addresses, or citation fragments — not product identifiers.",1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf p.10
1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf,FIG14,Fig.14,11,inline_identifier,false,,not_a_product_identifier,document_rule,RULE-054,,false,"Micro-Tech Y-shaped tracheal stent IFU; tokens are document revision codes, regulatory/patent identifiers, chemical names, figure or numbered-step references, addresses, or citation fragments — not product identifiers.",1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf p.11
1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf,FIG15,Fig.15,11,inline_identifier,false,,not_a_product_identifier,document_rule,RULE-054,,false,"Micro-Tech Y-shaped tracheal stent IFU; tokens are document revision codes, regulatory/patent identifiers, chemical names, figure or numbered-step references, addresses, or citation fragments — not product identifiers.",1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf p.11
1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf,FIG16,Fig.16,11,inline_identifier,false,,not_a_product_identifier,document_rule,RULE-054,,false,"Micro-Tech Y-shaped tracheal stent IFU; tokens are document revision codes, regulatory/patent identifiers, chemical names, figure or numbered-step references, addresses, or citation fragments — not product identifiers.",1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf p.11
1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf,FIG17,Fig.17,11,inline_identifier,false,,not_a_product_identifier,document_rule,RULE-054,,false,"Micro-Tech Y-shaped tracheal stent IFU; tokens are document revision codes, regulatory/patent identifiers, chemical names, figure or numbered-step references, addresses, or citation fragments — not product identifiers.",1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf p.11
1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf,FIG18,Fig.18,12,inline_identifier,false,,not_a_product_identifier,document_rule,RULE-054,,false,"Micro-Tech Y-shaped tracheal stent IFU; tokens are document revision codes, regulatory/patent identifiers, chemical names, figure or numbered-step references, addresses, or citation fragments — not product identifiers.",1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf p.12
1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf,FIG19,Fig.19,12,inline_identifier,false,,not_a_product_identifier,document_rule,RULE-054,,false,"Micro-Tech Y-shaped tracheal stent IFU; tokens are document revision codes, regulatory/patent identifiers, chemical names, figure or numbered-step references, addresses, or citation fragments — not product identifiers.",1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf p.12
1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf,FIG2,Fig.2,6,inline_identifier,false,,not_a_product_identifier,document_rule,RULE-054,,false,"Micro-Tech Y-shaped tracheal stent IFU; tokens are document revision codes, regulatory/patent identifiers, chemical names, figure or numbered-step references, addresses, or citation fragments — not product identifiers.",1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf p.6
1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf,FIG20,Fig.20,10,matrix_cell,false,,not_a_product_identifier,document_rule,RULE-054,,false,"Micro-Tech Y-shaped tracheal stent IFU; tokens are document revision codes, regulatory/patent identifiers, chemical names, figure or numbered-step references, addresses, or citation fragments — not product identifiers.",1-0023806-0-Tracheal-Stent-System-Y-shaped-IFU.pdf p.10;12
