source_id,title,filename,source_type,publisher,revision_date,as_of_date,reliability_tier,use_policy,notes
SRC001,NOVATECH Products for Interventional Pulmonology,BMP-MR-PCA-Interventional_Pulmonology_EN_Rev-6.pdf,Manufacturer catalog,Boston Medical Products / Novatech,Rev. 6,,Tier 1 - manufacturer,Eligible for prototype dropdown when exact SKU is printed in catalog; current IFU and availability still require validation.,"Primary source for DUMON stents, TONN applicators, DUTAU bronchoscope, ROTEPS instruments, and SURVAC catheters."
SRC002,Olympus BF-UC190F Ultrasound Bronchofibervideoscope,EBUS-TBNA_BF-UC190F_Brochures and Flyers (Sellsheets)_EN_E0428389EN_103563.pdf,Manufacturer brochure,Olympus,02/2021,2021-02,Tier 1 - manufacturer,Eligible for prototype dropdown for models/accessories explicitly identified in brochure.,Primary source for BF-UC190F dimensions and named accessories.
SRC003,Products for Pulmonary Endoscopy,ENDO-62108-AE-Pulmonary_Product_Family_Brochure-Interactive_Final_8.15.2022.pdf,Manufacturer catalog,Boston Scientific,2022,2022,Tier 1 - manufacturer,Eligible for prototype dropdown when exact order number is printed in catalog.,"Primary source for EBUS needles, CoreDx, forceps, brushes, TBNA needles, retrieval devices, balloon dilators, guidewires, and Ultraflex stents."
SRC004,Ultraflex Single-Use Tracheobronchial Stent System,ENDO-274113-AA_Ultraflex Brochure_FINAL.pdf,Manufacturer brochure,Boston Scientific,10/2014,2014-10,Tier 1 - manufacturer,Cross-checking source for Ultraflex order numbers and specifications.,Older manufacturer source; current commercial status must be re-verified before launch.
SRC005,CoreDx Pulmonary Mini-Forceps,ENDO-549610-AA-CoreDx-eBrochure_FINAL.pdf,Manufacturer brochure,Boston Scientific,2019,2019,Tier 1 - manufacturer,Cross-checking source for CoreDx order number and dimensions.,
SRC006,Product list 2025,Procuct list 2025.xlsx,User-supplied seed workbook,User-provided,2025,2025,Tier 3 - seed / unverified,Do not expose in live dropdown until exact manufacturer source and current status are verified.,"Contains useful candidate SKUs and several exact tables, but provenance varies."
SRC007,Equipment seeds,Equipment seeds.xlsx,User-supplied seed workbook,User-provided,,,Tier 3 - seed / unverified,Do not expose in live dropdown until exact manufacturer source and current status are verified.,Strong starting point for procedure roles and candidate products.
SRC008,FDA Pleural Drainage Devices US,FDA_Pleural_Drainage_Devices_US.csv,User-supplied compiled CSV,User-provided,,,Tier 3 - compiled / unverified,Candidate data only until manufacturer catalog and current FDA/market status are verified.,"Contains exact pleural SKUs and procurement flags, but those flags are not treated as verified."
SRC009,Comprehensive List of FDA-Approved Tracheobronchial Stents Available in the United States (2025),Comprehensive List of FDA-Approved Tracheobronchial Stents Available in the United States (2025).pdf,Secondary AI-generated report,User-provided,2025,2025-06,Tier 4 - secondary / verification required,Discovery only; no product should be promoted to live dropdown from this source alone.,"Potentially useful market map, but contains incomplete product numbers and claims requiring primary-source validation."
SRC010,FDA-Approved Chest Tubes and Pleural Drainage Devices (U.S. Distribution),FDA-Approved Chest Tubes and Pleural Drainage Devices (U.S. Distribution).pdf,Secondary AI-generated report,User-provided,,,Tier 4 - secondary / verification required,Discovery only; no product should be promoted to live dropdown from this source alone.,
