qa_id,entity_type,entity_id,severity,issue_type,issue,recommended_action,status
QA-579445E3FC,Catalog,GLOBAL,High,Clinical template validation,"Procedure slots are draft inventory/setup-card templates, not clinical checklists.","Assign clinician, nursing/RT, anesthesia, SPD, infection-control, laboratory, homecare, and supply-chain owners to approve each relevant procedure template.",Open
QA-0332F0271F,Catalog,GLOBAL,High,Compatibility enforcement,Role matching alone does not guarantee device-platform compatibility.,"Implement hard compatibility filters using current IFUs for working channel, scope hub, barrel ID, guidewire, energy generator, cable, stent applicator, trocar, and IPC system.",Open
QA-170F36FC92,Catalog,GLOBAL,High,Current-market validation,"The catalog includes manufacturer documents ranging from 2011 through 2026; commercial availability, current IFUs, UDI records, FDA status, recalls, and discontinuations were not comprehensively reverified.","Before production launch, validate every production-visible SKU against current manufacturer and FDA/AccessGUDID evidence and store verifier, evidence, and last_verified_at.",Open
QA-74476FDBD4,Catalog,GLOBAL,High,Non-U.S. and legacy source restrictions,"Some exact records come from non-U.S. or legacy catalogs, including ERBE, Richard Wolf, Olympus Europe, and the 2011 KARL STORZ U.S. catalog.","Keep affected products hidden by default until current U.S. labeling, clearance, availability, and platform support are documented.",Open
QA-BE9C25EAB4,Procedure,CHEST_TUBE,High,Template owner approval,Chest tube insertion template version 0.3 requires multidisciplinary institutional approval.,"Review required/optional status, quantities, dependencies, infection-control needs, anesthesia/ventilation requirements, and local supply workflow.",Open
QA-7F81518AA7,Procedure,EBUS_TBNA,High,Template owner approval,EBUS-TBNA / EBUS-FNB template version 0.3 requires multidisciplinary institutional approval.,"Review required/optional status, quantities, dependencies, infection-control needs, anesthesia/ventilation requirements, and local supply workflow.",Open
QA-932429B1E0,Procedure,EBV,High,Template owner approval,Endobronchial valve placement template version 0.2 requires multidisciplinary institutional approval.,"Review required/optional status, quantities, dependencies, infection-control needs, anesthesia/ventilation requirements, and local supply workflow.",Open
QA-5C32F7C237,Procedure,FLEX_DIAGNOSTIC,High,Template owner approval,Diagnostic flexible bronchoscopy template version 0.3 requires multidisciplinary institutional approval.,"Review required/optional status, quantities, dependencies, infection-control needs, anesthesia/ventilation requirements, and local supply workflow.",Open
QA-6C0D562FA7,Procedure,ICU_BRONCH,High,Template owner approval,ICU / bedside bronchoscopy template version 0.3 requires multidisciplinary institutional approval.,"Review required/optional status, quantities, dependencies, infection-control needs, anesthesia/ventilation requirements, and local supply workflow.",Open
QA-4DF7093A0A,Procedure,IPC_PLACEMENT,High,Template owner approval,Tunneled indwelling pleural catheter placement template version 0.3 requires multidisciplinary institutional approval.,"Review required/optional status, quantities, dependencies, infection-control needs, anesthesia/ventilation requirements, and local supply workflow.",Open
QA-7973C734B5,Procedure,MED_THORACOSCOPY,High,Template owner approval,Medical thoracoscopy / pleuroscopy template version 0.3 requires multidisciplinary institutional approval.,"Review required/optional status, quantities, dependencies, infection-control needs, anesthesia/ventilation requirements, and local supply workflow.",Open
QA-28AF10F9CC,Procedure,PERC_TRACH,High,Template owner approval,Percutaneous dilational tracheostomy template version 0.1 requires multidisciplinary institutional approval.,"Review required/optional status, quantities, dependencies, infection-control needs, anesthesia/ventilation requirements, and local supply workflow.",Open
QA-8DA2E999CD,Procedure,RIGID_BRONCH,High,Template owner approval,Rigid bronchoscopy template version 0.3 requires multidisciplinary institutional approval.,"Review required/optional status, quantities, dependencies, infection-control needs, anesthesia/ventilation requirements, and local supply workflow.",Open
QA-F0D55730F5,Procedure,TB_RULEOUT,High,Template owner approval,TB rule-out bronchoscopy template version 0.3 requires multidisciplinary institutional approval.,"Review required/optional status, quantities, dependencies, infection-control needs, anesthesia/ventilation requirements, and local supply workflow.",Open
QA-050073FD92,Procedure,THERAPEUTIC_BRONCH,High,Template owner approval,Therapeutic flexible bronchoscopy template version 0.3 requires multidisciplinary institutional approval.,"Review required/optional status, quantities, dependencies, infection-control needs, anesthesia/ventilation requirements, and local supply workflow.",Open
QA-E14E11CF2F,Procedure,THORACENTESIS,High,Template owner approval,Thoracentesis template version 0.2 requires multidisciplinary institutional approval.,"Review required/optional status, quantities, dependencies, infection-control needs, anesthesia/ventilation requirements, and local supply workflow.",Open
QA-B6385D8737,Procedure,WLL,High,Template owner approval,Whole lung lavage template version 0.3 requires multidisciplinary institutional approval.,"Review required/optional status, quantities, dependencies, infection-control needs, anesthesia/ventilation requirements, and local supply workflow.",Open
QA-999A656449,Product,PRD-02AD30BCD3,High,Primary source missing,Pulmonx EBV-TS-4.0-LP remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-967E058429,Product,PRD-02DC164D77,High,Primary source missing,Medtronic 9CN90ED remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-FA76176A9F,Product,PRD-03B374F7B8,High,Primary source missing,Thoracent / M.I.Tech BTB-182009 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-A4348F969A,Product,PRD-0410844D48,High,Exact configuration incomplete,Cook Medical G55713 has a supported product identity but incomplete exact size/configuration evidence.,Obtain the current manufacturer ordering table and populate every orderable configuration before exposing it.,Open
QA-0AB02F6CF6,Product,PRD-04E1CAF545,High,Primary source missing,Medtronic 10UN10H remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-EBFC0448D3,Product,PRD-05670F1B5F,High,U.S. regulatory/market status,ERBE 20402-411 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-F2F65AEE84,Product,PRD-0581A0B7D2,High,Primary source missing,Thoracent / M.I.Tech BTB-147009 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-568AE2F958,Product,PRD-070884900C,High,Exact configuration incomplete,Cook Medical G05302 has a supported product identity but incomplete exact size/configuration evidence.,Obtain the current manufacturer ordering table and populate every orderable configuration before exposing it.,Open
QA-15EC011AF4,Product,PRD-09AF1B1AE5,High,U.S. regulatory/market status,ERBE 20134-006 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-3FC545FEB9,Product,PRD-0A72BF7A79,High,Primary source missing,Pulmonx EDC-TS-5.5-DM remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-E93428854E,Product,PRD-0A9806F6F2,High,U.S. regulatory/market status,ERBE 20196-059 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-BF0FA57491,Product,PRD-0ADECF7C68,High,U.S. regulatory/market status,ERBE 20196-061 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-E6121F3D6E,Product,PRD-0BAE92E0E1,High,Primary source missing,Cardinal Health C30200A remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-304DC3680D,Product,PRD-0C3327D71D,High,Primary source missing,Thoracent / M.I.Tech BTB-146009 remains a seed/secondary-source candidate and is hidden from the default dropdown.,"Obtain a current manufacturer catalog/IFU or direct manufacturer confirmation; verify exact catalog number, UDI, configuration, and market status.",Open
QA-165C418144,Product,PRD-0C7A44B87D,High,U.S. regulatory/market status,ERBE 20196-129 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
QA-EA091322DA,Product,PRD-0C821995AC,High,U.S. regulatory/market status,ERBE 20402-007 is supported by a non-U.S. source and is hidden from U.S. dropdowns.,"Confirm current U.S. labeling, clearance, distributor, orderability, and compatible platform before use.",Open
