source_id,title,products_primary,product_source_links,notes
SRC001,NOVATECH Products for Interventional Pulmonology,159,159,"Primary source for DUMON stents, TONN applicators, DUTAU bronchoscope, ROTEPS instruments, and SURVAC catheters."
SRC002,Olympus BF-UC190F Ultrasound Bronchofibervideoscope,4,4,Primary source for BF-UC190F dimensions and named accessories.
SRC003,Products for Pulmonary Endoscopy,39,75,"Primary source for EBUS needles, CoreDx, forceps, brushes, TBNA needles, retrieval devices, balloon dilators, guidewires, and Ultraflex stents."
SRC004,Ultraflex Single-Use Tracheobronchial Stent System,0,36,Older manufacturer source; current commercial status must be re-verified before launch.
SRC005,CoreDx Pulmonary Mini-Forceps,0,1,
SRC006,Product list 2025,60,78,"Contains useful candidate SKUs and several exact tables, but provenance varies."
SRC007,Equipment seeds,78,95,Strong starting point for procedure roles and candidate products.
SRC008,FDA Pleural Drainage Devices US,25,34,"Contains exact pleural SKUs and procurement flags, but those flags are not treated as verified."
SRC009,Comprehensive List of FDA-Approved Tracheobronchial Stents Available in the United States (2025),0,0,"Potentially useful market map, but contains incomplete product numbers and claims requiring primary-source validation."
SRC010,FDA-Approved Chest Tubes and Pleural Drainage Devices (U.S. Distribution),0,0,
SRC011,List of EBUS Needles and Bronchoscopic Peripheral Biopsy Tools (U.S. Market),0,0,Useful market map for EBUS needles and peripheral biopsy tools; exact product numbers and procurement claims require primary-source validation.
SRC012,Olympus EndoTherapy Endoscopic Devices Product Catalog,57,62,"Primary source for Olympus respiratory biopsy forceps, cytology brushes, guide sheaths, TBNA/EBUS needles, Spiration valves, disposable bronchoscopes, retrieval devices, balloon catheters, bite blocks, and cleaning brushes."
SRC013,Micro-Tech GI Endoscopy Devices & Accessories Product Catalog,26,26,"Global/older catalog containing straight, Y-shaped, and J-shaped tracheal stents; not treated as evidence of current U.S. availability."
SRC014,Tracheobronchial Stents (U.S. Adult Interventional Pulmonology),0,0,Market overview for airway stents and distributors.
SRC015,Ultraflex Tracheobronchial Stent System manufacturer product page,36,36,Current manufacturer page capture with covered and uncovered Ultraflex ordering information.
SRC016,Y-Shaped Tracheal Stent brochure,19,19,"U.S.-facing brochure with exact Y-stent limb dimensions, delivery catheter profile, and package quantity."
SRC017,ERBE Connecting Cables and Adapters,65,67,"Non-U.S. catalog for monopolar/bipolar cables, return-electrode cables, adapters, and irrigation/APC accessories."
SRC018,ERBE Instruments and Accessories for Cryosurgery,18,18,"Non-U.S. catalog for ERBECRYO 2 flexible probes, footswitch, cart, gas hoses, adapters, and exhaust hoses."
SRC019,ERBE Instruments and Accessories for Argon Plasma Coagulation,35,35,"Non-U.S. catalog for FiAPC/FiAPC plus probes, APC applicators, adapters, test adapters, pressure reducers, cylinders, and argon accessories."
SRC020,Cook Medical Chest Tubes and Catheters for Pleural and Pericardial Drainage,11,11,Manufacturer product-page capture identifying several Cook chest drainage sets and accessories by page asset/SKU; many exact size variants still require order-table validation.
SRC021,Richard Wolf Bronchoscopy / Thoracoscopy / Mediastinoscopy Catalog,169,169,Global catalog; product availability varies by country.
SRC022,Endoscopy Accessories Product Catalog,26,26,"U.S. accessories catalog covering workstations, monitors, insufflation, suction, and irrigation."
SRC023,Endobronchial Blocker Sets,4,4,Arndt and Cohen endobronchial blocker sets.
SRC024,EchoTip ProCore and EchoTip Ultra Endobronchial HD Ultrasound Needles,8,8,Eight EBUS needle configurations with Olympus- and Pentax-specific hubs.
SRC025,Aspira Pleural Drainage Catheter Instructions for Use,0,6,U.S. prescription-device IFU.
SRC026,Rocket IPC U.S. Sales Brochure,18,18,U.S. IPC portfolio and accessories.
SRC027,Merit Endotek Pulmonary Product Catalog,86,86,"AERO/AEROmini/AERO DV, dilation, BAL, VacLok, Aspira, and drainage products."
SRC028,Micro-Tech Endoscopy USA Product Catalog,0,0,No additional pulmonary-labeled products imported from this GI catalog.
SRC029,Olympus Peripheral Bronchoscopy Solutions,15,16,"Peripheral bronchoscopy scopes, radial probes, guide sheaths, and sampling accessories."
SRC030,"KARL STORZ THORAX, 3rd Edition 2/2011 US",150,150,Legacy U.S. catalog; includes an explicit list of items not available in the U.S. at publication.
